Customer,InternalPartNo,ShipmentMonth,ActualShipmentQty
Alpha Precision,P-1001,2026-01,748
Alpha Precision,P-1001,2026-02,796
Alpha Precision,P-1001,2026-03,846
Alpha Precision,P-1001,2026-04,898
Alpha Precision,P-1001,2026-05,950
Alpha Precision,P-1002,2026-01,864
Alpha Precision,P-1002,2026-02,915
Alpha Precision,P-1002,2026-03,968
Alpha Precision,P-1002,2026-04,1022
Alpha Precision,P-1002,2026-05,968
Alpha Precision,P-1003,2026-01,984
Alpha Precision,P-1003,2026-02,1039
Alpha Precision,P-1003,2026-03,1094
Alpha Precision,P-1003,2026-04,1034
Alpha Precision,P-1003,2026-05,1089
Beta Motion,P-1001,2026-01,927
Beta Motion,P-1001,2026-02,980
Beta Motion,P-1001,2026-03,1034
Beta Motion,P-1001,2026-04,1090
Beta Motion,P-1001,2026-05,1030
Beta Motion,P-1004,2026-01,1049
Beta Motion,P-1004,2026-02,1104
Beta Motion,P-1004,2026-03,1162
Beta Motion,P-1004,2026-04,1096
Beta Motion,P-1004,2026-05,1152
Beta Motion,P-1005,2026-01,1175
Beta Motion,P-1005,2026-02,1234
Beta Motion,P-1005,2026-03,1162
Beta Motion,P-1005,2026-04,1220
Beta Motion,P-1005,2026-05,1279
