Customer,InternalPartNo,ForecastMonth,YearlyForecastQty
Alpha Precision,P-1001,2026-01,850
Alpha Precision,P-1001,2026-02,885
Alpha Precision,P-1001,2026-03,920
Alpha Precision,P-1001,2026-04,955
Alpha Precision,P-1001,2026-05,990
Alpha Precision,P-1001,2026-06,1025
Alpha Precision,P-1002,2026-01,960
Alpha Precision,P-1002,2026-02,995
Alpha Precision,P-1002,2026-03,1030
Alpha Precision,P-1002,2026-04,1065
Alpha Precision,P-1002,2026-05,1100
Alpha Precision,P-1002,2026-06,1135
Alpha Precision,P-1003,2026-01,1070
Alpha Precision,P-1003,2026-02,1105
Alpha Precision,P-1003,2026-03,1140
Alpha Precision,P-1003,2026-04,1175
Alpha Precision,P-1003,2026-05,1210
Alpha Precision,P-1003,2026-06,1245
Beta Motion,P-1001,2026-01,1030
Beta Motion,P-1001,2026-02,1065
Beta Motion,P-1001,2026-03,1100
Beta Motion,P-1001,2026-04,1135
Beta Motion,P-1001,2026-05,1170
Beta Motion,P-1001,2026-06,1205
Beta Motion,P-1004,2026-01,1140
Beta Motion,P-1004,2026-02,1175
Beta Motion,P-1004,2026-03,1210
Beta Motion,P-1004,2026-04,1245
Beta Motion,P-1004,2026-05,1280
Beta Motion,P-1004,2026-06,1315
Beta Motion,P-1005,2026-01,1250
Beta Motion,P-1005,2026-02,1285
Beta Motion,P-1005,2026-03,1320
Beta Motion,P-1005,2026-04,1355
Beta Motion,P-1005,2026-05,1390
Beta Motion,P-1005,2026-06,1425
